epoch,train_loss,val_loss,prediction_mse,local_physics_loss
0,0.00088414,0.00026773,0.0008709,0.87351
1,0.00024208,0.00016661,0.00020742599999999998,0.0034259
2,0.00017641,0.00015198,0.000132631,0.0021811
3,0.00016427,0.00015115,0.00011570999999999999,0.0016122
4,0.00016176,0.00015189,0.000110549,0.0012731
5,0.00016083,0.0001522,0.00010872900000000001,0.0010339
6,0.00015105,0.00014365,0.00010311999999999999,0.00094974
7,0.00014245,0.00013483,9.8309e-05,0.00087432
8,0.00013401,0.00012663,9.3875e-05,0.0007944
9,0.00012625,0.00011911,8.989600000000001e-05,0.00071901
10,0.00011986,0.00011334,8.661500000000001e-05,0.00065739
11,0.00011479,0.00010878,8.398e-05,0.00060887
12,0.00011075,0.00010458,8.185299999999999e-05,0.00057079
13,0.00010744,0.00010138,8.0081e-05,0.00054011
14,0.00010465,9.8642e-05,7.8561e-05,0.00051483
15,0.00010228,9.6452e-05,7.724400000000001e-05,0.00049385
16,0.00010023,9.4777e-05,7.6079e-05,0.00047611
17,9.8429e-05,9.3381e-05,7.5051e-05,0.00046079
18,9.6841e-05,9.214e-05,7.4131e-05,0.00044749
19,9.5418e-05,9.0887e-05,7.3298e-05,0.00043576
