epoch,avg_loss,prediction_mse,edge_loss,local_physics_loss
0,0.00099226,0.00037505,0.03086,0.0032395
1,0.00065337,5.4095e-05,0.029665,0.00099567
2,0.0006358,4.4362e-05,0.028969,0.0010043
3,0.00062734,4.1639e-05,0.028403,0.00098005
4,0.000623,3.9899999999999994e-05,0.02801,0.00095369
5,0.00062118,3.8527999999999994e-05,0.027731,0.0009343
6,0.00061502,3.7003e-05,0.027515,0.00092417
7,0.0006086,3.4619e-05,0.02733,0.00091291
8,0.00060115,3.157e-05,0.027125,0.00090287
9,0.00059307,2.8846e-05,0.026862,0.00089935
10,0.00058361,2.6627e-05,0.026473,0.00091741
11,0.00056919,2.4946200000000002e-05,0.025767,0.0009636
12,0.00054894,2.3597e-05,0.024727,0.0010266
13,0.00052559,2.23746e-05,0.02352,0.0010937
14,0.00050567,2.15158e-05,0.022511,0.0011311
15,0.00048632,2.05863e-05,0.021581,0.001137
16,0.00046894,1.9788400000000002e-05,0.020748,0.0011393
17,0.00045424,1.90456e-05,0.020053,0.0011376
18,0.00044209,1.83305e-05,0.019492,0.0011308
19,0.00043026,1.77588e-05,0.018936,0.0011256
20,0.00042124,1.72251e-05,0.018526,0.0011165
21,0.00041283,1.67285e-05,0.018144,0.0011077
22,0.00040458,1.6244e-05,0.017768,0.0010991
23,0.00039619,1.57751e-05,0.017387,0.0010892
24,0.00038893,1.53854e-05,0.017058,0.0010797
25,0.00038292,1.5011100000000001e-05,0.01679,0.0010704
26,0.00037627,1.46593e-05,0.016487,0.0010624
27,0.00037043,1.43269e-05,0.016224,0.0010544
28,0.00036528,1.40072e-05,0.015994,0.0010465
29,0.00036051,1.37076e-05,0.015786,0.0010361
30,0.00035538,1.34328e-05,0.015556,0.0010279
31,0.00035075,1.31684e-05,0.015348,0.0010209
32,0.00034641,1.2921799999999999e-05,0.015154,0.0010139
33,0.00034242,1.2692899999999998e-05,0.014973,0.0010089
34,0.00033858,1.2470000000000001e-05,0.0148,0.0010036
35,0.00033559,1.22728e-05,0.014666,0.00099987
36,0.0003312,1.2088e-05,0.014464,0.00099442
37,0.00032787,1.19024e-05,0.014311,0.0009919
38,0.00032449,1.1732099999999999e-05,0.014155,0.00098869
39,0.00032115,1.1580100000000001e-05,0.014003,0.00098374
40,0.00031808,1.14251e-05,0.01386,0.00098192
41,0.00031503,1.1294099999999999e-05,0.01372,0.00097801
42,0.00031204,1.1153e-05,0.013582,0.0009747
43,0.00030954,1.1025e-05,0.013466,0.00097355
44,0.00030673,1.0912e-05,0.013339,0.00096833
45,0.00030421,1.07948e-05,0.013221,0.0009666
46,0.00030185,1.0674600000000001e-05,0.013113,0.00096379
47,0.00029958,1.0586399999999999e-05,0.013009,0.00096084
48,0.00029691,1.0485e-05,0.012887,0.00095631
49,0.00029464,1.03928e-05,0.012782,0.00095349
