model_name,split,event_id,num_timesteps,total_inches,bin
Model_1,train,1,94,2.7033,2-4
Model_1,train,2,205,3.8417,2-4
Model_1,train,3,205,5.33,4-6
Model_1,train,4,445,6.59,6-8
Model_1,test,5,157,3.8683,2-4
Model_1,train,6,97,2.14,2-4
Model_1,train,7,205,4.4517,4-6
Model_1,test,8,397,6.58,6-8
Model_1,train,9,97,2.59,2-4
Model_1,train,10,205,6.2033,6-8
Model_1,train,11,445,6.58,6-8
Model_1,train,12,445,6.58,6-8
Model_1,train,13,445,4.86,4-6
Model_1,train,14,205,6.4933,6-8
Model_1,train,15,205,3.76,2-4
Model_1,train,16,205,8.02,8-10
Model_1,train,17,205,3.8267,2-4
Model_1,test,18,46,3.6033,2-4
Model_1,train,19,205,4.655,4-6
Model_1,train,20,205,3.8317,2-4
Model_1,train,21,205,5.29,4-6
Model_1,test,22,49,1.4167,0-2
Model_1,train,23,205,2.6767,2-4
Model_1,train,24,97,1.521,0-2
Model_1,train,25,445,6.6,6-8
Model_1,test,26,46,2.6867,2-4
Model_1,train,27,94,2.7233,2-4
Model_1,train,28,445,4.85,4-6
Model_1,test,29,49,2.98,2-4
Model_1,train,30,205,3.64,2-4
Model_1,test,31,49,1.5033,0-2
Model_1,train,32,445,4.85,4-6
Model_1,test,33,157,5.48,4-6
Model_1,train,34,97,1.6167,0-2
Model_1,test,35,397,6.58,6-8
Model_1,train,36,205,5.1333,4-6
Model_1,test,37,49,1.9067,0-2
Model_1,train,38,205,6.28,6-8
Model_1,train,39,445,6.59,6-8
Model_1,train,40,445,6.6,6-8
Model_1,train,41,205,3.605,2-4
Model_1,test,42,157,5.06,4-6
Model_1,train,43,205,3.8567,2-4
Model_1,test,44,397,6.59,6-8
Model_1,train,45,97,2.5067,2-4
Model_1,train,46,205,8.14,8-10
Model_1,train,47,205,5.6,4-6
Model_1,test,48,157,4.9067,4-6
Model_1,train,49,205,4.86,4-6
Model_1,train,50,445,6.59,6-8
Model_1,test,51,157,5.13,4-6
Model_1,test,52,397,4.83,4-6
Model_1,test,53,49,1.7067,0-2
Model_1,train,54,94,1.83,0-2
Model_1,train,55,205,4.9383,4-6
Model_1,train,56,97,1.761,0-2
Model_1,train,57,205,6.0533,6-8
Model_1,train,58,205,4.875,4-6
Model_1,test,59,49,2.4433,2-4
Model_1,train,60,205,4.98,4-6
Model_1,train,61,94,2.67,2-4
Model_1,test,62,157,6.1933,6-8
Model_1,train,63,205,4.3867,4-6
Model_1,train,64,97,2.13,2-4
Model_1,test,65,397,4.84,4-6
Model_1,test,66,46,3.1233,2-4
Model_1,test,67,157,5.4,4-6
Model_1,train,68,445,4.86,4-6
Model_1,test,69,49,0.7033,0-2
Model_1,train,70,445,4.87,4-6
Model_1,train,71,97,1.5033,0-2
Model_1,train,72,445,6.6,6-8
