model_name,event_id,onset_timestep,peak_rain_in,num_timesteps
Model_1,1,0,0.15666675567626953,94
Model_1,2,0,0.06000041961669922,205
Model_1,3,13,0.04916667938232422,205
Model_1,4,13,0.04083341360092163,445
Model_1,6,0,0.18000006675720215,97
Model_1,7,0,0.07666683197021484,205
Model_1,9,0,0.19000005722045898,97
Model_1,10,0,0.16000032424926758,205
Model_1,11,13,0.04666709899902344,445
Model_1,12,13,0.057500362396240234,445
Model_1,13,13,0.0516667366027832,445
Model_1,14,0,0.15833330154418945,205
Model_1,15,0,0.05500006675720215,205
Model_1,16,37,0.12583351135253906,205
Model_1,17,0,0.07666683197021484,205
Model_1,19,0,0.11333346366882324,205
Model_1,20,0,0.0950002670288086,205
Model_1,21,109,0.1291670799255371,205
Model_1,23,0,0.12666654586791992,205
Model_1,24,0,0.15000009536743164,97
Model_1,25,13,0.0550001859664917,445
Model_1,27,0,0.20333325862884521,94
Model_1,28,13,0.06833362579345703,445
Model_1,30,13,0.052500128746032715,205
Model_1,32,13,0.06083345413208008,445
Model_1,34,0,0.10000014305114746,97
Model_1,36,0,0.131666898727417,205
Model_1,38,0,0.23000049591064453,205
Model_1,39,13,0.10250043869018555,445
Model_1,40,13,0.0475001335144043,445
Model_1,41,0,0.04666709899902344,205
Model_1,43,0,0.07666683197021484,205
Model_1,45,0,0.2566666603088379,97
Model_1,46,13,0.1575002670288086,205
Model_1,47,13,0.08583354949951172,205
Model_1,49,13,0.03833341598510742,205
Model_1,50,109,0.11500024795532227,445
Model_1,54,0,0.1399998664855957,94
Model_1,55,0,0.19333362579345703,205
Model_1,56,0,0.1400003433227539,97
Model_1,57,0,0.1033334732055664,205
Model_1,58,0,0.10166692733764648,205
Model_1,60,0,0.10833334922790527,205
Model_1,61,0,0.2500002384185791,94
Model_1,63,0,0.08000040054321289,205
Model_1,64,0,0.2133333683013916,97
Model_1,68,13,0.04166674613952637,445
Model_1,70,13,0.05333375930786133,445
Model_1,71,0,0.14333343505859375,97
Model_1,72,13,0.06916666030883789,445
Model_1,74,0,0.3833334445953369,94
Model_1,76,13,0.059166908264160156,445
Model_1,77,0,0.22333335876464844,97
Model_1,78,0,0.2866666316986084,94
Model_1,79,1,0.2850000858306885,205
Model_1,82,13,0.03833341598510742,205
Model_1,84,0,0.08000016212463379,205
Model_1,85,13,0.04250049591064453,445
Model_1,86,13,0.0550001859664917,445
Model_1,87,0,0.13666677474975586,94
Model_1,89,0,0.06333351135253906,205
Model_1,90,0,0.18666672706604004,97
Model_1,91,0,0.11166667938232422,205
Model_1,92,0,0.08000040054321289,205
Model_1,93,0,0.1833333969116211,97
Model_1,94,0,0.18000006675720215,97
Model_1,95,0,0.09833323955535889,205
Model_1,96,13,0.07250022888183594,205
Model_2,1,1,0.15666663646697998,97
Model_2,2,0,0.2933335304260254,205
Model_2,3,0,0.03500032424926758,205
Model_2,5,0,0.07500004768371582,205
Model_2,6,0,0.09333336353302002,97
Model_2,7,0,0.07666683197021484,205
Model_2,9,0,0.12333345413208008,97
Model_2,10,0,0.15833377838134766,205
Model_2,11,0,0.09333348274230957,205
Model_2,12,13,0.08750057220458984,445
Model_2,13,1,0.18166685104370117,205
Model_2,14,0,0.16666674613952637,97
Model_2,15,13,0.07250070571899414,445
Model_2,16,13,0.20750045776367188,445
Model_2,19,0,0.11666691303253174,205
Model_2,20,109,0.15250015258789062,445
Model_2,21,0,0.11500024795532227,205
Model_2,23,13,0.051667213439941406,445
Model_2,24,0,0.053333401679992676,97
Model_2,25,49,0.13000035285949707,445
Model_2,26,0,0.23000001907348633,97
Model_2,27,0,0.12166690826416016,205
Model_2,28,13,0.03500032424926758,445
Model_2,30,13,0.18583393096923828,445
Model_2,32,109,0.13000035285949707,445
Model_2,33,13,0.07916688919067383,445
Model_2,34,0,0.09333348274230957,97
Model_2,36,13,0.095833420753479,445
Model_2,38,0,0.17500019073486328,205
Model_2,39,13,0.05000019073486328,445
Model_2,40,13,0.028333425521850586,445
Model_2,41,13,0.11916732788085938,445
Model_2,43,0,0.06000018119812012,205
Model_2,45,0,0.09333324432373047,97
Model_2,46,49,0.05583345890045166,445
Model_2,47,13,0.2700001001358032,445
Model_2,48,0,0.07166719436645508,205
Model_2,49,25,0.16083431243896484,445
Model_2,50,13,0.095833420753479,445
Model_2,55,0,0.11333370208740234,205
Model_2,56,97,0.05750012397766113,445
Model_2,57,0,0.0516667366027832,205
Model_2,58,0,0.07833337783813477,205
Model_2,63,0,0.09666681289672852,97
Model_2,64,0,0.1066666841506958,97
Model_2,68,0,0.13000011444091797,97
Model_2,69,37,0.13500022888183594,445
Model_2,70,1,0.13999998569488525,97
Model_2,71,13,0.13416683673858643,445
Model_2,72,0,0.07333338260650635,97
Model_2,74,0,0.09333348274230957,205
Model_2,75,0,0.1399998664855957,97
Model_2,78,13,0.056667327880859375,445
Model_2,79,0,0.060000061988830566,97
Model_2,80,0,0.14333343505859375,205
Model_2,81,13,0.034166812896728516,445
Model_2,83,0,0.08333349227905273,205
Model_2,85,0,0.11666667461395264,97
Model_2,86,0,0.09000015258789062,205
Model_2,87,13,0.05000019073486328,445
Model_2,89,0,0.06666707992553711,205
Model_2,91,0,0.0950002670288086,205
Model_2,92,0,0.05666673183441162,97
Model_2,93,0,0.08666706085205078,205
Model_2,94,0,0.08166670799255371,205
Model_2,95,0,0.18333351612091064,97
Model_2,96,0,0.1833338737487793,205
Model_2,97,0,0.13666677474975586,97
Model_2,98,0,0.06333351135253906,205
