model,lmc,bin,n_matched,ref_1a,matched_1b,matched_gap,matched_gap_pct,n_full,full_1b,full_gap,full_gap_pct,n_seeds
Model_1,nolc,0-2,4,0.03335,0.0374,0.004050000000000005,12.143928035982023,18,0.03311111111111111,-0.0002388888888888857,-0.7163085124104519,2
Model_1,nolc,2-4,12,0.031025,0.036175,0.005149999999999998,16.599516518936333,60,0.031406666666666666,0.00038166666666666557,1.2301907064195505,3
Model_1,nolc,4-6,15,0.017839999999999998,0.023113333333333333,0.005273333333333335,29.559043348281026,75,0.018892,0.0010520000000000009,5.8968609865470905,3
Model_1,nolc,≥6,4,0.0019,0.0021,0.00019999999999999987,10.526315789473678,28,0.004117857142857143,0.002217857142857143,116.7293233082707,2
Model_1,lmc,0-2,4,0.045075000000000004,0.038375,-0.0067000000000000046,-14.864115363283426,18,0.03172777777777778,-0.013347222222222226,-29.61114192395391,2
Model_1,lmc,2-4,8,0.0345375,0.0377125,0.003175000000000004,9.192906261310183,40,0.03279,-0.001747499999999999,-5.059717698154178,2
Model_1,lmc,4-6,10,0.028560000000000002,0.02572,-0.0028400000000000022,-9.943977591036422,50,0.014892,-0.013668000000000001,-47.85714285714286,2
Model_1,lmc,≥6,4,0.002775,0.0027500000000000003,-2.499999999999985e-05,-0.9009009009008954,28,0.0045928571428571425,0.0018178571428571423,65.50836550836549,2
Model_2,nolc,0-2,8,0.0365,0.03415,-0.002349999999999998,-6.438356164383556,36,0.03131944444444444,-0.005180555555555556,-14.193302891933032,2
Model_2,nolc,2-4,10,0.01926,0.02038,0.0011199999999999995,5.815160955347869,46,0.013641304347826087,-0.005618695652173912,-29.172874621879085,2
Model_2,nolc,4-6,2,0.01055,0.0093,-0.0012500000000000011,-11.848341232227499,14,0.013692857142857144,0.0031428571428571434,29.790115098171974,2
Model_2,nolc,6-8,4,0.0085,0.00905,0.0005500000000000001,6.470588235294119,24,0.010075,0.001575,18.52941176470588,2
Model_2,nolc,8-10,4,0.0007,0.0009,0.00019999999999999998,28.571428571428566,18,0.0009,0.00019999999999999998,28.571428571428566,2
Model_2,lmc,0-2,8,0.035875000000000004,0.03395,-0.001925000000000003,-5.365853658536594,36,0.031083333333333334,-0.00479166666666667,-13.356562137049949,2
Model_2,lmc,2-4,10,0.01933,0.02118,0.001850000000000001,9.570615623383347,46,0.01472608695652174,-0.00460391304347826,-23.817449785195347,2
Model_2,lmc,4-6,2,0.00955,0.0103,0.0007500000000000007,7.853403141361264,14,0.014807142857142857,0.005257142857142858,55.04861630516082,2
Model_2,lmc,6-8,4,0.0098,0.009075,-0.000725,-7.3979591836734695,24,0.010116666666666666,0.0003166666666666665,3.2312925170068008,2
Model_2,lmc,8-10,4,0.003,0.00165,-0.00135,-45.0,18,0.00165,-0.00135,-45.0,2
