exp,model,lmc,split_type,holdout_bin,n_test,rollout_mean_2d_rmse_m,step8_2d_rmse_m
p1a_lmc_s0,Model_1,lmc,stratified80,,13,0.017825,0.029
p1a_lmc_s1,Model_1,lmc,stratified80,,13,0.0401375,0.0615
p1b_h46_lmc_s0,Model_1,lmc,holdout,4-6,25,0.0145875,0.0212
p1b_h46_lmc_s1,Model_1,lmc,holdout,4-6,25,0.0151625,0.0224
p1b_h24_lmc_s0,Model_1,lmc,holdout,2-4,20,0.0340375,0.053
p1b_h24_lmc_s1,Model_1,lmc,holdout,2-4,20,0.031575,0.0497
p1a_m2_s0,Model_2,nolc,stratified80,,14,0.016,0.0338
p1a_m2_s1,Model_2,nolc,stratified80,,14,0.022762499999999998,0.0469
p1b_h46_m2_s0,Model_2,nolc,holdout,4-6,7,0.0138,0.0278
p1b_h46_m2_s1,Model_2,nolc,holdout,4-6,7,0.0135625,0.028
p1b_h24_m2_s0,Model_2,nolc,holdout,2-4,23,0.0132125,0.0269
p1b_h24_m2_s1,Model_2,nolc,holdout,2-4,23,0.0140875,0.0291
p1a_m2_lmc_s0,Model_2,lmc,stratified80,,14,0.016275,0.035
p1a_m2_lmc_s1,Model_2,lmc,stratified80,,14,0.0230625,0.0467
p1b_h46_m2_lmc_s0,Model_2,lmc,holdout,4-6,7,0.01475,0.0281
p1b_h46_m2_lmc_s1,Model_2,lmc,holdout,4-6,7,0.0148375,0.029
p1b_h24_m2_lmc_s0,Model_2,lmc,holdout,2-4,23,0.0144625,0.0292
p1b_h24_m2_lmc_s1,Model_2,lmc,holdout,2-4,23,0.015,0.0306
