config,exp,sub_exp,rmse_2d_peak,rmse_overall_peak,n_test_events
2d_nolc,r80_s0,random80,0.1068,0.1068,14
2d_nolc,r80_s1,random80,0.1007,0.1007,14
2d_nolc,r80_s2,random80,0.1178,0.1178,14
2d_lmc,r80_s0,random80,0.1111,0.1111,14
2d_lmc,r80_s1,random80,0.0992,0.0992,14
2d_lmc,r80_s2,random80,0.1238,0.1238,14
1d_nolc,r80_s0,random80,0.1117,0.188,14
1d_nolc,r80_s1,random80,0.0993,0.1926,14
1d_nolc,r80_s2,random80,0.1184,0.2046,14
1d_lmc,r80_s0,random80,0.1128,0.2311,14
1d_lmc,r80_s1,random80,0.1143,0.189,14
1d_lmc,r80_s2,random80,0.1215,0.1812,14
